timestamp,itemid,property,value
1435460400000,460429,categoryid,1338
1441508400000,206783,888,1116713 960601 n277.200
1439089200000,395014,400,n552.000 639502 n720.000 424566
1431226800000,59481,790,n15360.000
1431831600000,156781,917,828513
1436065200000,285026,available,0
1434250800000,89534,213,1121373
1431831600000,264312,6,319724
1433646000000,229370,202,1330310
1434250800000,98113,451,1141052 n48.000
1439089200000,450113,888,1038400 45956 n504.000
1435460400000,244127,400,n552.000 639502 n720.000 424566
1439694000000,264319,227,1283144 353870
1439694000000,348323,839,1026952 1162729
1434250800000,169055,790,n21000.000
1437274800000,186518,available,0
1435460400000,178601,790,n5400.000
1436670000000,319291,888,1292080
1437274800000,49337,0,n36.000 1186610 119932 717520 903287 98606 632686 1117759 504389 227411 768453 414047 1008741 561431 508431 621351 976840 260167 934278 388767 42948
1435460400000,363598,1022,857891 593337
1439694000000,48696,566,n480.000 639502 189174
1431226800000,344365,159,519769
1434250800000,269797,159,519769
1434250800000,418580,830,373898
1433646000000,419661,134,n12.000
1433646000000,311329,19,n96.000 350726
1435460400000,16615,888,150169 176547 824301 24474 293011 1240134
1435460400000,334428,216,637368 190776
1433646000000,400770,28,150169 610517
1435460400000,462323,698,1305767
1439694000000,218734,881,n60.000
1431831600000,246186,764,1285872
1432436400000,324117,776,168106
1433646000000,258423,942,769062
1439694000000,460970,202,949574
1435460400000,346165,188,n960.000 10317
1441508400000,367159,776,1325415
1435460400000,279407,558,1214748 1186610
1434250800000,184487,1079,769062
1435460400000,95377,61,422480 650951
1433646000000,152892,888,599031
1431831600000,301185,112,679677
1431831600000,125874,790,n39588.000
1431831600000,313849,6,1214748 1186610
1438484400000,38351,544,1055803 1164666
1435460400000,95237,888,883447 726612
1433646000000,272201,790,n10320.000
1434250800000,57378,839,575356
1442113200000,372355,888,1051803 1227205 n712862568.000 992862 951748 690896 n30.000 1135780 1284577 n187.200 1284577 n16392.000 628176 n9216.000 134030 1284577 n72.000 1187104 1284577 n12.000 1175087 n12.000 1072114 1284577 1186729 681805 1284577 618514 980588 927741 32766 1284577 1141052 n48.000 288796 1284577 842796 1154859
1436670000000,4672,928,127030
1431831600000,111996,701,677966
1431831600000,299516,917,1000352 624695
1433646000000,258502,1036,86628 182696 857699 370498
1431831600000,330306,112,679677
1433646000000,142758,698,1263557
1432436400000,407811,790,n185280.000
1439089200000,69516,663,1297729 n156.000 606827
1434250800000,4454,888,1024724 220869
1433646000000,437890,1031,253511
1435460400000,296884,839,881782
1434250800000,290768,6,377560
1437274800000,206852,1036,769062 616467 769062
1433646000000,136445,776,466048
1433646000000,119637,790,n11160.000
1442113200000,52894,227,9705
1432436400000,313836,888,n120.000 586893 1166722 237874 43137
1433646000000,157961,230,816598 43939
1431831600000,462976,764,1285872
1436065200000,307136,663,n187.200
1439694000000,78554,928,726612
1437274800000,459523,790,n15588.000
1439694000000,393984,915,769062
1433646000000,91819,619,n6000.000 1187104
1431226800000,206605,364,486220
1433646000000,126522,159,519769
1431226800000,53090,888,297660 1301543
1433041200000,292458,451,1141052 n48.000
1440903600000,74996,888,113942 492465 n168.000
1439694000000,430242,348,598588
1433646000000,423682,available,0
1433646000000,360984,917,300207
1432436400000,264575,60,939845 n36.000
